ID,Sex,Age,Height,Weight,Country,Year,Sport,Medal
259,F,21,173,59,Canada,1984,Swimming,NA
449,F,26,164,58,Russia,2008,Athletics,NA
460,M,22,190,78,Russia,1972,Swimming,NA
587,F,26,178,61,Germany,1988,Athletics,NA
650,M,18,182,68,Canada,2016,Swimming,NA
737,F,33,188,66,USA,2008,Athletics,NA
747,M,22,179,60,Japan,1936,Athletics,NA
803,F,16,165,54,UK,1976,Swimming,NA
824,M,31,189,70,Australia,2008,Athletics,NA
836,M,23,188,78,USA,1908,Athletics,NA
838,M,20,170,56,Canada,1928,Athletics,NA
961,M,22,188,80,USA,2016,Athletics,NA
967,M,23,172,62,Germany,1960,Cycling,Silver
980,F,23,179,70,UK,2012,Swimming,Bronze
1017,M,23,198,100,USA,2012,Swimming,Gold
1017,M,23,198,100,USA,2012,Swimming,Gold
1017,M,27,198,100,USA,2016,Swimming,Gold
1173,M,20,202,90,France,2012,Swimming,NA
1323,M,22,170,57,UK,1908,Athletics,NA
1534,M,21,173,65,Australia,1992,Cycling,Silver
1534,M,29,173,65,Australia,2000,Cycling,Gold
1544,F,27,180,67,Germany,1988,Swimming,NA
1561,M,20,180,62,Canada,2016,Athletics,Bronze
1731,F,18,182,65,Russia,2008,Swimming,NA
1742,F,17,174,62,Russia,1980,Swimming,NA
2350,F,26,170,60,Germany,1972,Athletics,NA
2440,M,22,177,75,USA,1928,Athletics,Gold
2443,F,17,170,59,USA,1952,Swimming,NA
2506,M,20,185,76,Russia,2008,Athletics,NA
2510,M,18,183,80,Russia,1988,Swimming,NA
2542,M,19,192,83,France,2004,Athletics,NA
2548,F,20,175,61,Australia,1988,Swimming,NA
2565,F,32,170,51,UK,2000,Cycling,NA
2567,M,24,180,78,UK,1988,Cycling,NA
2642,F,32,168,52,Italy,2000,Athletics,NA
2715,M,17,180,69,France,1920,Athletics,NA
2813,F,15,162,50,UK,1972,Swimming,NA
2905,M,26,174,67,USA,1968,Cycling,NA
2905,M,30,174,67,USA,1972,Cycling,NA
3075,M,21,183,75,UK,1960,Athletics,NA
3075,M,25,183,75,UK,1964,Athletics,NA
3100,F,22,175,102,USA,1996,Athletics,NA
3102,M,18,177,70,Italy,1912,Athletics,Bronze
3230,M,25,188,77,USA,1988,Cycling,NA
3264,M,21,188,78,Italy,1984,Cycling,NA
3309,M,25,187,71,France,1984,Cycling,NA
3417,M,28,171,59,France,1960,Athletics,NA
3420,F,19,173,63,Canada,1996,Swimming,NA
3443,M,23,191,82,Russia,2000,Swimming,NA
3475,F,26,165,51,France,2000,Athletics,NA
3524,M,27,174,75,Germany,1968,Cycling,NA
3525,M,24,182,77,Germany,1988,Cycling,NA
3637,M,20,178,65,Russia,1968,Swimming,NA
3643,M,23,188,81,Italy,1992,Cycling,Silver
3683,F,32,169,53,Germany,2000,Athletics,NA
3793,F,22,164,61,USA,2000,Athletics,Gold
3809,M,26,194,80,Australia,1992,Athletics,NA
3817,M,23,193,88,Canada,1992,Swimming,NA
3820,F,20,178,68,USA,2012,Swimming,Silver
3820,F,24,178,68,USA,2016,Swimming,NA
3828,M,25,191,97,USA,1932,Athletics,Gold
3838,F,20,163,63,Canada,1988,Athletics,NA
3862,M,22,190,77,USA,1928,Athletics,Silver
3876,F,18,165,53,USA,1956,Athletics,NA
3877,F,26,168,51,Australia,2000,Athletics,NA
4028,M,17,183,79,France,1976,Swimming,NA
4059,M,22,188,85,France,1912,Athletics,NA
4059,M,22,188,85,France,1912,Athletics,NA
4059,M,30,188,85,France,1920,Athletics,Bronze
4061,F,25,168,62,France,1972,Athletics,NA
4094,M,29,191,118,Italy,1988,Athletics,NA
4094,M,33,191,118,Italy,1992,Athletics,NA
4145,F,16,162,54,Australia,1960,Swimming,Silver
4155,F,23,168,52,UK,2016,Athletics,NA
4169,M,32,174,63,Russia,2008,Athletics,NA
4179,M,37,170,58,Russia,2004,Athletics,NA
4182,F,20,167,64,Russia,2008,Cycling,NA
4183,F,24,190,74,Russia,2016,Swimming,NA
4199,F,27,180,94,Russia,1976,Athletics,NA
4200,F,28,176,56,Russia,2008,Athletics,NA
4225,M,32,180,68,Russia,2004,Athletics,NA
4376,M,22,188,73,Russia,1980,Athletics,NA
4391,F,24,167,52,Russia,1976,Athletics,Bronze
4400,F,18,160,52,Germany,1976,Swimming,NA
4413,F,25,174,67,Australia,2016,Cycling,NA
4433,F,28,183,67,Australia,1988,Athletics,NA
4517,M,26,170,52,Italy,1988,Athletics,Silver
4597,F,29,174,55,Russia,2012,Cycling,NA
4670,F,14,152,42,Japan,1996,Swimming,NA
4736,M,21,170,59,UK,1912,Athletics,Bronze
4853,M,27,171,64,Japan,2012,Cycling,NA
4925,M,22,182,77,Canada,1906,Athletics,NA
4951,F,22,167,60,UK,1964,Athletics,NA
5063,M,21,185,75,France,1948,Athletics,NA
5085,M,26,178,67,Russia,2004,Athletics,NA
5106,M,23,178,65,Russia,1980,Athletics,Silver
5134,F,23,171,63,Italy,2008,Swimming,NA
5143,F,23,171,64,UK,1956,Athletics,NA
5158,M,20,187,74,Australia,1988,Swimming,NA
5159,M,27,190,125,Canada,2008,Athletics,Bronze
5168,M,24,178,75,USA,1996,Cycling,NA
5198,F,19,173,59,Germany,1996,Cycling,NA
5198,F,36,173,59,Germany,2012,Cycling,Silver
5306,F,30,177,64,France,2004,Athletics,Bronze
5413,M,20,175,73,Canada,1968,Swimming,NA
5456,M,24,179,76,Japan,1996,Athletics,NA
5456,M,32,179,76,Japan,2004,Athletics,NA
5525,M,23,188,77,USA,1952,Athletics,NA
5577,F,23,173,64,Australia,2016,Swimming,Silver
5596,F,21,170,59,Germany,1976,Swimming,NA
5719,M,36,176,68,Germany,1960,Athletics,NA
5828,M,20,184,71,Australia,1984,Athletics,NA
5986,M,22,188,78,USA,1948,Athletics,NA
5991,M,24,189,88,Russia,1964,Athletics,Silver
6048,M,22,163,64,France,1928,Athletics,NA
6051,F,36,176,60,France,2000,Athletics,NA
6075,F,27,175,100,Russia,2012,Athletics,NA
6161,F,23,171,61,Japan,1976,Athletics,NA
6389,M,29,183,65,France,2008,Athletics,Bronze
6430,F,19,178,67,USA,1976,Swimming,Silver
6440,M,21,188,75,USA,1912,Athletics,NA
6495,F,28,164,61,Italy,2012,Cycling,NA
6517,M,19,183,71,Canada,1972,Swimming,NA
6529,F,29,170,60,Italy,2000,Athletics,NA
6594,M,35,195,102,UK,2004,Athletics,NA
6614,M,26,195,120,USA,1952,Athletics,NA
6625,F,32,160,56,France,1984,Athletics,NA
6802,M,20,188,77,Australia,1960,Athletics,NA
6802,M,20,188,77,Australia,1960,Athletics,NA
6869,M,23,180,91,Germany,2012,Cycling,NA
6877,M,17,186,78,Australia,1988,Swimming,NA
6879,M,22,179,70,Italy,1960,Cycling,Gold
6881,F,26,157,56,Canada,1988,Athletics,NA
6889,M,23,183,70,Canada,1968,Athletics,NA
6934,F,22,181,67,Australia,2012,Swimming,Silver
6950,F,18,170,65,UK,1972,Swimming,NA
7036,M,38,186,70,Australia,1996,Athletics,NA
7219,M,33,176,62,Italy,2004,Athletics,Gold
7224,M,23,173,73,UK,2000,Athletics,NA
7238,M,22,174,69,UK,2012,Swimming,NA
7280,M,25,180,69,Canada,1928,Athletics,Bronze
7338,F,23,169,62,Russia,1960,Athletics,NA
7340,M,29,170,62,France,1952,Athletics,NA
7347,F,21,180,67,France,2008,Swimming,NA
7347,F,29,180,67,France,2016,Swimming,NA
7430,M,18,180,75,France,1964,Athletics,NA
7430,M,18,180,75,France,1964,Athletics,NA
7457,M,18,183,70,UK,1976,Cycling,Bronze
7537,F,30,162,57,USA,1988,Cycling,NA
7650,M,21,181,64,Italy,1956,Athletics,NA
7753,F,23,177,65,Italy,2012,Swimming,NA
7803,M,20,186,84,USA,1976,Cycling,NA
7841,M,22,184,70,Italy,1976,Swimming,NA
7849,M,24,184,62,France,2016,Cycling,NA
7903,F,17,169,61,USA,1968,Swimming,Gold
7941,F,15,178,65,UK,1976,Swimming,NA
7959,F,13,161,54,Australia,1968,Swimming,NA
7964,F,24,163,54,UK,1976,Athletics,NA
8014,M,20,171,67,Italy,1976,Cycling,NA
8031,F,16,178,60,USA,1988,Swimming,NA
8031,F,16,178,60,USA,1988,Swimming,Silver
8059,M,25,172,63,France,1984,Athletics,NA
8189,M,20,170,70,UK,1984,Cycling,NA
8191,M,28,189,72,Canada,2004,Cycling,NA
8243,M,26,174,70,Russia,1960,Athletics,Silver
8252,M,25,166,69,Germany,1968,Cycling,NA
8279,M,33,163,48,Germany,1960,Athletics,NA
8285,M,20,186,80,Germany,1996,Cycling,NA
8285,M,24,186,80,Germany,2000,Cycling,Gold
8285,M,24,186,80,Germany,2000,Cycling,Gold
8285,M,28,186,80,Germany,2004,Cycling,NA
8285,M,28,186,80,Germany,2004,Cycling,NA
8332,M,27,167,68,UK,1964,Cycling,NA
8335,F,20,170,61,UK,1968,Athletics,NA
8385,M,23,198,130,Russia,1972,Athletics,NA
8411,M,24,190,85,Russia,1992,Swimming,Silver
8548,M,26,177,61,UK,1988,Cycling,NA
8556,M,22,180,86,USA,1992,Athletics,Bronze
8638,M,18,176,61,Italy,1988,Swimming,NA
8638,M,18,176,61,Italy,1988,Swimming,Bronze
8638,M,22,176,61,Italy,1992,Swimming,NA
8736,M,27,173,71,UK,2000,Athletics,NA
8761,M,28,181,98,Germany,1968,Athletics,NA
8789,M,21,176,61,Germany,1976,Athletics,Bronze
8800,M,29,181,85,Germany,1936,Athletics,NA
8820,M,26,188,95,USA,1932,Athletics,Gold
8911,F,23,173,56,Australia,2000,Cycling,NA
9044,F,13,165,54,UK,1976,Swimming,NA
9075,F,22,172,55,France,1988,Athletics,NA
9094,M,16,170,65,Australia,1908,Swimming,NA
9094,M,16,170,65,Australia,1908,Swimming,Silver
9094,M,32,170,65,Australia,1924,Swimming,Bronze
9176,F,19,184,62,Germany,2016,Swimming,NA
9257,M,28,175,67,USA,1948,Athletics,NA
9416,M,27,196,94,Germany,2012,Athletics,NA
9460,F,19,168,68,USA,2012,Swimming,Silver
9586,F,24,177,57,Russia,1988,Athletics,NA
9609,M,23,186,73,Russia,1968,Swimming,Silver
9621,F,21,173,58,Russia,2012,Athletics,NA
9623,M,24,191,84,Russia,1980,Athletics,NA
9626,M,23,178,72,USA,1956,Cycling,NA
9626,M,26,178,72,USA,1960,Cycling,NA
9634,M,33,191,77,USA,1988,Athletics,NA
9667,M,20,175,70,USA,1908,Athletics,NA
9667,M,24,175,70,USA,1912,Athletics,NA
9719,M,22,178,70,Italy,1964,Athletics,NA
9719,M,26,178,70,Italy,1968,Athletics,NA
9729,M,22,180,73,France,1976,Athletics,NA
9729,M,26,180,73,France,1980,Athletics,NA
9773,M,19,185,76,Italy,2008,Swimming,NA
9791,F,20,162,58,Russia,1960,Swimming,NA
9816,F,21,172,60,Russia,2008,Swimming,NA
